"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"	"album name"	"album mbid"	"album artist name"	"album artist mbid"
"2009-08-02T17:19:40"	"1249233580"	"Zsa Manca"	"03811f62-9fd7-4f3f-82ea-ff2fd1f4d3fc"	"!deladap"	"55cc41c4-d527-4b1a-b45d-4c2ff718f000"	"Zsa Manca"	"03811f62-9fd7-4f3f-82ea-ff2fd1f4d3fc"	"!deladap"	"55cc41c4-d527-4b1a-b45d-4c2ff718f000"	""	""	""	""
"2009-08-02T17:19:48"	"1249233588"	"Mahalageasca (Felix B Jaxxhouz Dubb)"	""	"Mahala Raï Banda"	""	"Mahalageasca (Felix B Jaxxhouz Dubb)"	""	"Mahala Raï Banda"	""	"Gypsy Beats & Balkan Bangers"	""	"Various Artists"	"023671ff-b1ad-4133-a4f3-aadaaadfd2e0"
"2009-08-02T17:19:53"	"1249233593"	"Csengőcsángó"	"0d4f938b-2490-466c-8bc1-ae096cead63e"	"Ghymes"	"c6c1996f-1efb-4177-8c24-a777b8cecdc2"	"Csengocsángó"	""	"Ghymes"	"c6c1996f-1efb-4177-8c24-a777b8cecdc2"	"Messzerepulo"	""	"Ghymes"	"c6c1996f-1efb-4177-8c24-a777b8cecdc2"
"2009-08-02T17:19:58"	"1249233598"	"$20 for Boban"	"daf9880b-38b3-4942-a16d-2d506925eb7a"	"Balkan Beat Box"	"aaaca27e-cbb4-42d8-91be-57e902120817"	"$20 for Boban"	"daf9880b-38b3-4942-a16d-2d506925eb7a"	"Balkan Beat Box"	"aaaca27e-cbb4-42d8-91be-57e902120817"	"Nu Med"	"1f842b02-891d-496e-829d-8ba22c19edc3"	"Balkan Beat Box"	"aaaca27e-cbb4-42d8-91be-57e902120817"
"2009-08-02T17:20:04"	"1249233604"	"Amarena"	"11cc1a66-704c-4d0c-9f55-73525bc51883"	"Figli Di Madre Ignota"	"c30a338d-0067-4c84-81ea-9ebcfdc96b40"	"Amarena"	"11cc1a66-704c-4d0c-9f55-73525bc51883"	"Figli Di Madre Ignota"	"c30a338d-0067-4c84-81ea-9ebcfdc96b40"	"Tamboo Tamboo"	"407c5434-5192-4cc6-86de-12343fac9229"	"Figli Di Madre Ignota"	"c30a338d-0067-4c84-81ea-9ebcfdc96b40"
"2009-08-02T17:20:08"	"1249233608"	"DJelem, DJelem"	""	"Saban Bajramovic"	""	"DJelem, DJelem"	""	"Saban Bajramovic"	""	"A Gypsy Legend"	""	"Saban Bajramovic"	""
"2009-08-02T17:20:12"	"1249233612"	"Kustino Oro"	"cd2cae94-e98b-44fe-ad55-a664c4f15eae"	"Goran Bregović"	"883ece23-2779-4091-b527-62eb07ee79d4"	"Kustino Oro"	"cd2cae94-e98b-44fe-ad55-a664c4f15eae"	"Goran Bregović"	"883ece23-2779-4091-b527-62eb07ee79d4"	"Underground Tango"	""	"Goran Bregović"	"883ece23-2779-4091-b527-62eb07ee79d4"
"2009-08-02T17:20:16"	"1249233616"	"meleg"	"f75f1dac-d7b9-44e3-bd17-02bfb6e7a894"	"Ludditák"	"a0717328-2c99-473a-b35e-d7b657c88ab8"	"meleg"	"f75f1dac-d7b9-44e3-bd17-02bfb6e7a894"	"Ludditák"	"a0717328-2c99-473a-b35e-d7b657c88ab8"	"Tizenegyes"	"79793797-1aaa-47ad-b28a-8bdd16e3aeb9"	"Ludditák"	"a0717328-2c99-473a-b35e-d7b657c88ab8"
"2009-08-02T17:20:23"	"1249233623"	"Mámorba Táncba"	"d83ffddf-11de-4820-a3ae-bdf69ad2eb7f"	"30Y"	"0c77c6d8-53aa-4aeb-a209-5f60335cf1e3"	"Mámorba Táncba"	"d83ffddf-11de-4820-a3ae-bdf69ad2eb7f"	"30Y"	"0c77c6d8-53aa-4aeb-a209-5f60335cf1e3"	""	""	""	""
"2009-08-02T17:20:36"	"1249233636"	"Light Up the Stars"	"58ae00d5-ac7e-4f2e-9027-fd36a90f4e84"	"ColorStar"	"a7026996-8222-45bc-8361-91e8b48ef328"	"Light Up the Stars"	"58ae00d5-ac7e-4f2e-9027-fd36a90f4e84"	"ColorStar"	"a7026996-8222-45bc-8361-91e8b48ef328"	"Komfort"	"19f8f7e8-4c8b-47e4-bfec-40eae1f2be0b"	"ColorStar"	"a7026996-8222-45bc-8361-91e8b48ef328"
